Master Catalog,Identifier,Parent Identifier,Name US,URL keyword,Page title,Meta description,Facet Ordered List,Delete
FALSE,Commercia-Refrigeration-Electronics,Refrigeration,Commercia Refrigeration Electronics,commercia-refrigeration-electronics,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Commercial-AC-Electronics,Heating-and-Air-Conditioning,Commercial AC Electronics,,,,Category | EMR Input Voltage Range | EMR HVAC System Type | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Commercial-Air-Conditioning,Heating-and-Air-Conditioning,Commercial Air Conditioning,,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Commercial-Air-Conditioning-Components,Heating-and-Air-Conditioning,Commercial Air Conditioning Components,commercial-air-conditioning-components,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Commercial-Condensing-Units,Refrigeration,Commercial Condensing Units,commercial-condensing-units,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Commercial-Digital-Upgrade-Kits,Heating-and-Air-Conditioning,Commercial Digital Upgrade Kits,commercial-digital-upgrade-kits,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Commercial-Electrical-Fittings,Electrical-Construction-Materials-and-Lighting,Commercial Electrical Fittings,commercial-electrical-fittings,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Commercial-Heating-Cable-Systems,Indoor-Outdoor-Heating-Cables,Commercial Heating Cable Systems,commercial-heating-cable-systems,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Commercial-Heating-Components,Heating-and-Air-Conditioning,Commercial Heating Components,commercial-heating-components,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Commercial-Refrigeration,Refrigeration,Commercial Refrigeration,,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry | EMR Refrigerant Type | EMR Product Type | EMR Capacity Range | EMR Application | EMR Voltage | EMR Frequency,
FALSE,Commercial-Refrigeration-Components,Refrigeration,Commercial Refrigeration Components,commercial-refrigeration-components,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Commercial-Refrigeration-Compressors,Refrigeration,Commercial Refrigeration Compressors,,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry | EMR Refrigerant Type | EMR Product Type | EMR Capacity Range | EMR Application | EMR Voltage | EMR Frequency,
FALSE,Commercial-Refrigeration-Electronics,Refrigeration,Commercial Refrigeration Electronics,commercial-refrigeration-electronics,,,,
FALSE,Commercial-Scroll-Compressors,Heating-and-Air-Conditioning,Commercial Scroll Compressors,,,,Category | EMR Refrigerant Type | EMR Capacity Range | EMR Hertz | EMR Voltage | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Commercial-Switches-Outlet-Boxes-and-Covers,Electrical-Construction-Materials-and-Lighting,"Commercial Switches, Outlet Boxes, and Covers",commercial-switches-outlet-boxes-covers,,,,
FALSE,Commercial-Vacuums,Vacuum-Equipment,Commercial Vacuums,commercial-vacuums,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Commercial-Wet-Dry-Vacs,Vacuum-Equipment,Commercial Wet/Dry Vacs,commercial-wet-dry-vacs,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Control-Power-Solutions,Electrical-Components-Lighting,Control Power Solutions,,Products - Control Power Solutions|Emerson,Browse Control Power Solutions products,Category | Brand | EMR Industry,
FALSE,Control-Valves,Valves-Actuators-Regulators,Control Valves,,Products - Control Valves | Emerson,Browse Control Valves products,Category | Brand | EMR Valve Type | EMR Industry | EMR Application | EMR Material | EMR Critical Service | EMR Pressure Class | EMR Certifications | EMR Valve Size | EMR Operating Temperature | EMR Shutoff Class | EMR Flow Characteristics | EMR Valve Size Standard,
FALSE,Controllers-Instruments,Valves-Actuators-Regulators,Controllers and Instruments,,Products - Controllers and Instruments | Emerson,Browse Controllers and Instruments products,Category | Brand | EMR Product Type | EMR Industry | EMR Application | EMR Communication Protocol | EMR Power Source | EMR Diagnostics | EMR Data Interface | EMR Area Classification | EMR Safety Certification | EMR Certifications | EMR Input Signal | EMR Measurement Type | EMR Position Control | EMR Mounting Type | EMR Supply Media | EMR Operating Temperature | EMR Style | EMR Media | EMR Max Outlet Pressure | EMR Valve Size,
FALSE,Controls,Electrical-Components-Lighting,Controls,controls,Products - Controls|Emerson,Browse Controls products,Category | Brand | EMR Industry,
FALSE,Controls-Thermostats,Indoor-Outdoor-Heating-Cables,Controls-Thermostats,controls-thermostats,,,,
FALSE,Crankcase-Heater,Indoor-Outdoor-Heating-Cables,Crankcase Heater,crankcase-heater,,,,
FALSE,Cylinders-Actuators,Solenoids-Pneumatics,Cylinders and Actuators,cylinders-actuators,Products - Cylinders and Actuators | Emerson,Browse Cylinders and Actuators products,Category | EMR Pipe Port Size | EMR Operating Environment | EMR Standards | EMR Bore | EMR Application | Brand | EMR Industry,
FALSE,Density-Viscosity,Measurement-Instrumentation,Density and Viscosity,,Products - Density and Viscosity | Emerson,Browse Density and Viscosity products,Category | Brand | EMR Industry | EMR Instrument Type | EMR Installation Type | EMR Fluid State | EMR Line Size | EMR Output Variables | EMR Operating Temperature | EMR Operating Pressure | EMR Power Source | EMR Output Signal | EMR Input Signal | EMR User Interface | EMR Product Type,
FALSE,"Diagnostics,-Inspection-&amp;-Locating",Construction-Plumbing-Tools,"Diagnostics, Inspection &#38; Locating",,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Diagnostics-Inspection-and-Locating,Construction-Plumbing-Tools,"Diagnostics, Inspection &#38; Locating",diagnostics-inspection-and-locating,,,,
FALSE,Distributed-Control-Systems,Control-Safety-Systems,Distributed Control Systems,,Products - Distributed Control Systems | Emerson,Browse Distributed Control Systems products,Category | Brand | EMR Industry,
FALSE,Distributed-Sensors,Measurement-Instrumentation,Distributed Sensors,distributed-sensors,Products - Distributed Sensors | Emerson,Browse Distributed Sensors products,Category | Brand | EMR Industry | EMR Sensor Type,
FALSE,Distribution-Equipment,Electrical-Components-Lighting,Distribution Equipment,distribution-equipment,Products - Distribution Equipment|Emerson,Browse Distribution Equipment products,Category | Brand | EMR Industry,
FALSE,Do-It-Yourself,Thermostats,Do It Yourself,do-it-yourself,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Drain-Cleaning,Construction-Plumbing-Tools,Drain Cleaning,,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Electrical-Tools,Construction-Plumbing-Tools,Electrical Tools,,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Enclosures-Junction-Boxes,Electrical-Components-Lighting,Enclosures and Junction Boxes,enclosures-junction-boxes,Products - Enclosures and Junction Boxes|Emerson,Browse Enclosures and Junction Boxes products,Category | Brand | EMR Industry,
FALSE,Energy-Management,Operations-Business-Management,Energy Management,energy-management,Products - Energy Management | Emerson,Browse Energy Management products,Category | Brand | EMR Industry,
FALSE,Field-Device-Management,Asset-Reliability,Field Device Management,,Products - Field Device Management | Emerson,Browse Field Device Management products,Category | Brand | EMR Industry,
FALSE,Fittings,Electrical-Components-Lighting,Fittings,fittings,Products - Fittings|Emerson,Browse Fittings products,Category | Brand | EMR Industry,
