AttributeDictionaryAttributeAndAllowedValues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Identifier,Type,AttributeType,Sequence,Displayable,Searchable,Comparable,Facetable,STOREDISPLAY,Merchandisable,AttributeField1,AttributeField2,AttributeField3,LanguageId,Name,Description,SecondaryDescription,AssociatedKeyword,Field1,Footnote,UnitOfMeasure,Store,HeaderName,MultiLang,MultiValue,MinOcurrences,MaxLength,LkupType,AttrValPrefix,LkupTableName
EMR Generic Spec 11 Label,STRING,1,1020,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-2,Label,EMR Generic Spec 11 Label,,,,,,EMR,Generic Spec 11 Label,TRUE,1,,,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,
EMR Generic Spec 11 Value,STRING,1,1021,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-2,Value,EMR Generic Spec 11 Value,,,,,,EMR,Generic Spec 11 Value,TRUE,1,,,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,
EMR Generic Spec 12 Label,STRING,1,1022,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-2,Label,EMR Generic Spec 12 Label,,,,,,EMR,Generic Spec 12 Label,TRUE,1,,,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,
EMR Generic Spec 12 Value,STRING,1,1023,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-2,Value,EMR Generic Spec 12 Value,,,,,,EMR,Generic Spec 12 Value,TRUE,1,,,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,
EMR Generic Spec 13 Label,STRING,1,1024,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-2,Label,EMR Generic Spec 13 Label,,,,,,EMR,Generic Spec 13 Label,TRUE,1,,,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,
EMR Generic Spec 13 Value,STRING,1,1025,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-2,Value,EMR Generic Spec 13 Value,,,,,,EMR,Generic Spec 13 Value,TRUE,1,,,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,
EMR Generic Spec 14 Label,STRING,1,1026,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-2,Label,EMR Generic Spec 14 Label,,,,,,EMR,Generic Spec 14 Label,TRUE,1,,,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,
EMR Generic Spec 14 Value,STRING,1,1027,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-2,Value,EMR Generic Spec 14 Value,,,,,,EMR,Generic Spec 14 Value,TRUE,1,,,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,
EMR Generic Spec 15 Label,STRING,1,1028,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-2,Label,EMR Generic Spec 15 Label,,,,,,EMR,Generic Spec 15 Label,TRUE,1,,,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,
EMR Generic Spec 15 Value,STRING,1,1029,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-2,Value,EMR Generic Spec 15 Value,,,,,,EMR,Generic Spec 15 Value,TRUE,1,,,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,
EMR Generic Spec 16 Label,STRING,1,1030,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-2,Label,EMR Generic Spec 16 Label,,,,,,EMR,Generic Spec 16 Label,TRUE,1,,,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,
EMR Generic Spec 16 Value,STRING,1,1031,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-2,Value,EMR Generic Spec 16 Value,,,,,,EMR,Generic Spec 16 Value,TRUE,1,,,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,
EMR Generic Spec 17 Label,STRING,1,1032,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-2,Label,EMR Generic Spec 17 Label,,,,,,EMR,Generic Spec 17 Label,TRUE,1,,,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,
EMR Generic Spec 17 Value,STRING,1,1033,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-2,Value,EMR Generic Spec 17 Value,,,,,,EMR,Generic Spec 17 Value,TRUE,1,,,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,
EMR Generic Spec 18 Label,STRING,1,1034,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-2,Label,EMR Generic Spec 18 Label,,,,,,EMR,Generic Spec 18 Label,TRUE,1,,,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,
EMR Generic Spec 18 Value,STRING,1,1035,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-2,Value,EMR Generic Spec 18 Value,,,,,,EMR,Generic Spec 18 Value,TRUE,1,,,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,
EMR Generic Spec 19 Label,STRING,1,1036,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-2,Label,EMR Generic Spec 19 Label,,,,,,EMR,Generic Spec 19 Label,TRUE,1,,,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,
EMR Generic Spec 19 Value,STRING,1,1037,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-2,Value,EMR Generic Spec 19 Value,,,,,,EMR,Generic Spec 19 Value,TRUE,1,,,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,
EMR Generic Spec 20 Label,STRING,1,1038,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-2,Label,EMR Generic Spec 20 Label,,,,,,EMR,Generic Spec 20 Label,TRUE,1,,,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,
EMR Generic Spec 20 Value,STRING,1,1039,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-2,Value,EMR Generic Spec 20 Value,,,,,,EMR,Generic Spec 20 Value,TRUE,1,,,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,
EMR Generic Spec 21 Label,STRING,1,1040,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-2,Label,EMR Generic Spec 21 Label,,,,,,EMR,Generic Spec 21 Label,TRUE,1,,,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,
EMR Generic Spec 21 Value,STRING,1,1041,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-2,Value,EMR Generic Spec 21 Value,,,,,,EMR,Generic Spec 21 Value,TRUE,1,,,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,
EMR Generic Spec 22 Label,STRING,1,1042,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-2,Label,EMR Generic Spec 22 Label,,,,,,EMR,Generic Spec 22 Label,TRUE,1,,,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,
EMR Generic Spec 22 Value,STRING,1,1043,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-2,Value,EMR Generic Spec 22 Value,,,,,,EMR,Generic Spec 22 Value,TRUE,1,,,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,
